1681	die	1.0
1707	nu	1.0
1725	nu	1.7407407407407407
1735	die	1.5833333333333333
1743	nu	1.0
1744	die	1.0
1752	nu	1.0
1761	nu	2.0
1762	die	1.0
1770	nu	1.4615384615384615
1771	die	2.0
1780	die	1.3181818181818181
1789	nu	1.3888888888888886
1798	nu	1.1666666666666665
1799	die	1.1818181818181819
1806	nu	4.112820512820512
1807	die	1.7966666666666666
1815	nu	4.08611111111111
1816	die	1.7105263157894737
1824	nu	4.050238095238095
1825	die	2.653968253968254
1829	kla	1.0
1833	nu	3.5536507936507937
1834	die	1.2912280701754386
1842	nu	3.818437118437118
1843	die	1.5484126984126985
1847	kla	1.0
1851	nu	3.262812049062048
1852	die	2.9883461235733972
1856	kla	1.0
1860	nu	3.16953069806011
1861	die	2.226417233560091
1865	kla	1.5
1870	die	2.013531746031746
1874	kla	2.0
1879	nu	3.1042938242957594
1883	kla	2.3333333333333335
1888	nu	3.4591233305532496
1889	die	2.722128755083301
1892	kla	1.0
1897	nu	3.8428831931638983
1898	die	2.954631542699725
1904	die	3.062325154908886
1905	nu	3.850056571541047
1908	kla	1.5729166666666667
1913	die	2.583353055144499
1914	nu	4.145076201057309
1917	kla	2.1933862433862434
1922	die	2.364036342445433
1923	nu	4.023278496144618
1926	kla	2.84047619047619
1931	die	2.226538850726157
1932	nu	3.6882051865362127
1935	kla	3.0054166666666666
1940	die	2.175745293902408
1941	nu	4.106237827100157
1944	kla	1.09375
1950	nu	3.921491596762192
1953	kla	1.5439015151515152
1959	die	2.53218867658597
1962	kla	1.9955357142857142
1968	die	3.0594797341515916
1969	nu	6.513039634483743
1971	kla	1.968412975912976
1977	die	3.325377033407749
1978	nu	7.879828075068119
1980	kla	2.228650793650794
1986	die	3.394276968835497
1987	nu	9.209723093011975
1995	die	4.44066969493897
1996	nu	12.639486078981827
1999	kla	2.9159607059607064
2001	nu	14.968803504764441
2004	die	7.0694930873366495
2008	kla	3.1414146781580987
1675	die	1.0
1708	nu	1.0
1717	nu	1.0
1726	nu	3.0
1735	nu	1.0
1744	nu	1.0
1745	die	1.0
1753	nu	1.0
1754	die	1.84375
1762	nu	1.4
1763	die	1.3888888888888888
1771	nu	1.4615384615384615
1772	die	1.0
1780	nu	1.0
1781	die	1.0
1790	die	1.0
1799	nu	2.5454545454545454
1807	nu	2.735087719298246
1808	die	2.170175438596491
1811	kla	1.0
1816	nu	2.6315789473684212
1817	die	1.1481481481481481
1825	nu	2.9598214285714284
1826	die	1.0624999999999998
1834	nu	3.8005357142857137
1835	die	3.163888888888889
1843	nu	3.648421855921856
1844	die	1.6005291005291007
1848	kla	1.0
1852	nu	3.0380132204396912
1853	die	2.2893578643578643
1861	nu	3.2342325036075033
1862	die	2.7503401360544215
1870	nu	3.344972160192748
1871	die	2.4267201233110325
1875	kla	1.6363636363636365
1880	die	2.203960055096419
1884	kla	1.0
1889	nu	3.5250952442577606
1893	kla	1.3333333333333333
1898	nu	4.006663099150142
1899	die	3.7317182817182815
1905	die	3.343272005772005
1906	nu	4.720193448162103
1909	kla	2.2041666666666666
1914	die	2.5870813529904435
1915	nu	4.342488680664344
1918	kla	1.9635416666666665
1923	die	2.3499206103572132
1924	nu	3.8440360012357577
1927	kla	2.3015873015873014
1932	die	2.0300506145900887
1933	nu	3.358070003957724
1936	kla	1.363095238095238
1941	die	2.194997805225078
1942	nu	3.6531611489201326
1945	kla	1.2666666666666666
1950	die	2.192831312433547
1951	nu	4.539068411699879
1954	kla	1.4833333333333332
1960	nu	5.334471749115469
1963	kla	2.0301190476190483
1969	die	3.220671927878267
1972	kla	2.3517628205128203
1978	die	4.060212936872886
1979	nu	8.270843069710692
1981	kla	1.9493759018759018
1987	die	3.736292597984301
1988	nu	9.70768334453494
1990	kla	2.488816322566323
1996	die	4.532043989142867
1997	nu	12.825715308344058
2002	nu	16.313934271770123
2005	die	7.009674916985353
1683	die	1.0
1718	nu	1.0
1719	die	1.0
1727	nu	1.5
1728	die	1.0
1737	die	1.0
1745	nu	1.0
1746	die	1.0
1754	nu	1.0
1755	die	1.3333333333333333
1763	nu	1.0
1764	die	2.0625
1772	nu	1.3641025641025641
1773	die	1.0
1781	nu	1.0
1782	die	1.0
1790	nu	1.5777777777777777
1791	die	1.0
1808	nu	1.3235294117647058
1809	die	1.5555555555555558
1812	kla	2.5
1817	nu	5.677777777777778
1818	die	1.5175438596491229
1826	nu	4.879824561403509
1827	die	2.7856060606060606
1835	nu	3.7091720779220774
1836	die	1.3923280423280422
1844	nu	5.502857142857143
1845	die	4.019880952380952
1849	kla	2.0
1853	nu	4.111323398823399
1854	die	2.615800865800866
1862	nu	3.1220836108336103
1863	die	1.976587301587302
1867	kla	1.3636363636363635
1871	nu	2.7573013506101742
1872	die	1.6513808942380372
1876	kla	1.0
1880	nu	3.709339520063181
1881	die	2.361509390080818
1885	kla	2.7222222222222223
1890	die	2.249064067245886
1894	kla	2.0
1899	nu	3.892807021398721
1900	kla	1.9927777777777778
1906	die	2.889577675740777
1907	nu	4.413286002780653
1915	die	2.687292568542569
1916	nu	4.131668241349447
1919	kla	2.9777777777777783
1924	die	1.6303731696111377
1925	nu	3.8819369608080248
1928	kla	2.599047619047619
1933	die	2.203969625923407
1934	nu	3.2696422249803514
1937	kla	2.1083333333333334
1942	die	2.3363423925185116
1943	nu	4.138464949896826
1946	kla	2.0898809523809527
1951	die	2.306473944793674
1952	nu	4.544161791960515
1955	kla	1.918922305764411
1960	die	2.4989023278406535
1961	nu	5.645350164409839
1964	kla	1.9253174603174608
